,address,price,beds,baths,size,city,state,zipcode,lat,lng
362,132 W Woodin Blvd,275000,4,2,1800, Dallas,TX,75224,32.722084,-96.824316
363,7311 Hardwood Trl,209900,3,2,1902, Dallas,TX,75249,32.637059,-96.950159
364,3609 Patience Blvd,324990,4,2,2067, Dallas,TX,75236,32.699369,-96.94662
365,2812 Alden Ave,375000,3,1,1757, Dallas,TX,75211,32.741981,-96.866104
366,1728 W Red Bird Ln,395000,4,3,2582, Dallas,TX,75232,32.67165,-96.848417
367,1337 Kingsley Dr,181900,3,2,1262, Dallas,TX,75216,32.684858,-96.802634
368,13536 Vida Ln,210000,3,2,1441, Dallas,TX,75253,32.679365,-96.598872
369,1402 Seevers Ave,389000,3,2,2101, Dallas,TX,75216,32.730506,-96.821353
370,7036 Winchester St,475000,3,2,2089, Dallas,TX,75231,32.862398,-96.74073
371,12618 Trenton Dr,375000,4,3,2463, Dallas,TX,75243,32.920901,-96.718028
372,1415 Reynoldston Ln,187434,3,2,1602, Dallas,TX,75232,32.67694,-96.845093
374,2720 E Atoll Dr,225000,5,2,2500, Dallas,TX,75216,32.714198,-96.799077
375,9835 Whistler Dr,275000,4,3,2482, Dallas,TX,75217,32.686745,-96.651386
376,1627 Wilbur St,325000,3,2,1820, Dallas,TX,75224,32.722586,-96.847349
377,1920 Oak Hill Cir,178374,4,2,1302, Dallas,TX,75217,32.74519,-96.671462
378,10548 Wyatt St,499999,4,3,2522, Dallas,TX,75218,32.848586,-96.695104
379,3408 Hammerly Dr,384900,3,3,2000, Dallas,TX,75212,32.784418,-96.898355
380,10525 Channel Dr,299000,4,2,2151, Dallas,TX,75229,32.890625,-96.879984
381,8648 Forest Hills Blvd,650000,3,3,1712, Dallas,TX,75218,32.822055,-96.710583
382,6015 Sunny Crest Ln,180000,4,3,1578, Dallas,TX,75241,32.674341,-96.803904
383,3531 Burlingdell Ave,319000,4,2,1720, Dallas,TX,75211,32.737141,-96.878591
384,10211 Carry Back Cir,485000,3,3,2042, Dallas,TX,75229,32.885233,-96.873914
385,3722 Ingersoll St,299900,4,2,1608, Dallas,TX,75212,32.788,-96.906497
386,11232 Lanewood Cir,435000,3,2,1653, Dallas,TX,75218,32.856489,-96.688222
387,9747 E Lake Highlands Dr,395000,3,2,1500, Dallas,TX,75218,32.846422,-96.704458
389,7616 Texridge Dr,209000,3,2,1478, Dallas,TX,75232,32.656177,-96.823803
390,1530 S Montreal Ave,327900,2,2,1122, Dallas,TX,75208,32.728055,-96.85412
391,6926 Vivian Ave,549900,2,2,1444, Dallas,TX,75223,32.804125,-96.737319
393,2427 Catherine St,329500,2,2,1322, Dallas,TX,75211,32.738436,-96.857982
394,6882 Avalon Ave,829500,3,2,1804, Dallas,TX,75214,32.818009,-96.740335
396,10619 Lakemere Dr,499900,3,2,1647, Dallas,TX,75238,32.875235,-96.702538
397,818 Cordova St,650000,3,2,1814, Dallas,TX,75223,32.803074,-96.742275
398,11727 Welch Rd,699000,3,3,2491, Dallas,TX,75229,32.908929,-96.829962
401,2827 Curvilinear Ct,245000,4,2,2200, Dallas,TX,75227,32.762436,-96.66757
402,132 W Woodin Blvd,275000,4,2,1800, Dallas,TX,75224,32.722084,-96.824316
403,7311 Hardwood Trl,209900,3,2,1902, Dallas,TX,75249,32.637059,-96.950159
404,3609 Patience Blvd,324990,4,2,2067, Dallas,TX,75236,32.699369,-96.94662
405,2812 Alden Ave,375000,3,1,1757, Dallas,TX,75211,32.741981,-96.866104
406,1728 W Red Bird Ln,395000,4,3,2582, Dallas,TX,75232,32.67165,-96.848417
407,1337 Kingsley Dr,181900,3,2,1262, Dallas,TX,75216,32.684858,-96.802634
408,13536 Vida Ln,210000,3,2,1441, Dallas,TX,75253,32.679365,-96.598872
409,1402 Seevers Ave,389000,3,2,2101, Dallas,TX,75216,32.730506,-96.821353
410,7036 Winchester St,475000,3,2,2089, Dallas,TX,75231,32.862398,-96.74073
411,12618 Trenton Dr,375000,4,3,2463, Dallas,TX,75243,32.920901,-96.718028
412,1415 Reynoldston Ln,187434,3,2,1602, Dallas,TX,75232,32.67694,-96.845093
414,2720 E Atoll Dr,225000,5,2,2500, Dallas,TX,75216,32.714198,-96.799077
415,9835 Whistler Dr,275000,4,3,2482, Dallas,TX,75217,32.686745,-96.651386
416,1627 Wilbur St,325000,3,2,1820, Dallas,TX,75224,32.722586,-96.847349
417,1920 Oak Hill Cir,178374,4,2,1302, Dallas,TX,75217,32.74519,-96.671462
418,10548 Wyatt St,499999,4,3,2522, Dallas,TX,75218,32.848586,-96.695104
419,3408 Hammerly Dr,384900,3,3,2000, Dallas,TX,75212,32.784418,-96.898355
420,10525 Channel Dr,299000,4,2,2151, Dallas,TX,75229,32.890625,-96.879984
421,8648 Forest Hills Blvd,650000,3,3,1712, Dallas,TX,75218,32.822055,-96.710583
422,6015 Sunny Crest Ln,180000,4,3,1578, Dallas,TX,75241,32.674341,-96.803904
423,3531 Burlingdell Ave,319000,4,2,1720, Dallas,TX,75211,32.737141,-96.878591
424,10211 Carry Back Cir,485000,3,3,2042, Dallas,TX,75229,32.885233,-96.873914
425,3722 Ingersoll St,299900,4,2,1608, Dallas,TX,75212,32.788,-96.906497
426,11232 Lanewood Cir,435000,3,2,1653, Dallas,TX,75218,32.856489,-96.688222
427,9747 E Lake Highlands Dr,395000,3,2,1500, Dallas,TX,75218,32.846422,-96.704458
429,7616 Texridge Dr,209000,3,2,1478, Dallas,TX,75232,32.656177,-96.823803
430,1530 S Montreal Ave,327900,2,2,1122, Dallas,TX,75208,32.728055,-96.85412
431,6926 Vivian Ave,549900,2,2,1444, Dallas,TX,75223,32.804125,-96.737319
433,2427 Catherine St,329500,2,2,1322, Dallas,TX,75211,32.738436,-96.857982
434,6882 Avalon Ave,829500,3,2,1804, Dallas,TX,75214,32.818009,-96.740335
436,10619 Lakemere Dr,499900,3,2,1647, Dallas,TX,75238,32.875235,-96.702538
437,818 Cordova St,650000,3,2,1814, Dallas,TX,75223,32.803074,-96.742275
